,word,lemma,pos,nmb_text,nmb_sent,nmb_word
0,из,из,PREP,1,1,1
1,прежних,прежний,ADJF,1,1,2
2,моих,мой,ADJF,1,1,3
3,поучений,поучение,NOUN,1,1,4
4,вы,вы,NPRO,1,1,5
5,могли,мочь,VERB,1,1,6
6,вывести,вывести,INFN,1,1,7
7,что,что,CONJ,1,1,8
8,мужчина,мужчина,NOUN,1,1,9
9,дурак,дурак,NOUN,1,1,10
10,теперь,теперь,ADVB,1,1,11
11,вам,вы,NPRO,1,1,12
12,известно,известно,PRED,1,1,13
13,что,что,CONJ,1,1,14
14,женщина,женщина,NOUN,1,1,15
15,дьявольская,дьявольский,ADJF,1,1,16
16,дура,дура,NOUN,1,1,17
17,марк,марк,NOUN,1,1,18
18,твен,твен,NOUN,1,1,19
19,письма,письмо,NOUN,1,1,20
20,с,с,PREP,1,1,21
21,земли,земля,NOUN,1,1,22
22,письмо,письмо,NOUN,1,2,1
23,восьмое,восьмой,ADJF,1,2,2
24,большинство,большинство,NOUN,1,2,3
25,фамилий,фамилия,NOUN,1,2,4
26,названных,назвать,PRTF,1,2,5
27,здесь,здесь,ADVB,1,2,6
28,лиц,лицо,NOUN,1,2,7
29,изменены,изменить,PRTS,1,2,8
30,почти,почти,ADVB,1,3,1
31,всё,всё,PRCL,1,3,2
32,приведённые,привести,PRTF,1,3,3
33,факты,факт,NOUN,1,3,4
34,соответствуют,соответствовать,VERB,1,3,5
35,действительности,действительность,NOUN,1,3,6
36,автор,автор,NOUN,1,4,1
37,приносит,приносить,VERB,1,4,2
38,извинения,извинение,NOUN,1,4,3
39,людям,человек,NOUN,1,4,4
40,так,так,CONJ,1,4,5
41,или,или,CONJ,1,4,6
42,иначе,иначе,ADVB,1,4,7
43,изображённым,изобразить,PRTF,1,4,8
44,в,в,PREP,1,4,9
45,романе,роман,NOUN,1,4,10
46,вместо,вместо,PREP,1,5,1
47,вступления,вступление,NOUN,1,5,2
48,повсюду,повсюду,ADVB,1,5,3
49,царило,царить,VERB,1,5,4
50,ликование,ликование,NOUN,1,5,5
51,прорвавшие,прорвать,PRTF,1,6,1
52,берлинскую,берлинский,ADJF,1,6,2
53,стену,стена,NOUN,1,6,3
54,люди,человек,NOUN,1,6,4
55,веселились,веселиться,VERB,1,6,5
56,прямо,прямо,ADVB,1,6,6
57,у,у,PREP,1,6,7
58,берлинских,берлинский,ADJF,1,6,8
59,ворот,ворота,NOUN,1,6,9
60,столько,столько,ADVB,1,6,10
61,десятилетий,десятилетие,NOUN,1,6,11
62,служивших,служить,PRTF,1,6,12
63,символом,символ,NOUN,1,6,13
64,раздела,раздел,NOUN,1,6,14
65,немецкой,немецкий,ADJF,1,6,15
66,нации,нация,NOUN,1,6,16
67,ненавистную,ненавистный,ADJF,1,7,1
68,стену,стена,NOUN,1,7,2
69,крушили,крушить,VERB,1,7,3
70,к,к,PREP,1,7,4
71,восторгу,восторг,NOUN,1,7,5
72,собравшихся,собраться,PRTF,1,7,6
73,прямо,прямо,ADVB,1,7,7
74,на,на,PREP,1,7,8
75,глазах,глаз,NOUN,1,7,9
76,били,бить,VERB,1,8,1
77,кирками,кирка,NOUN,1,8,2
78,молотками,молоток,NOUN,1,8,3
79,просто,просто,PRCL,1,8,4
80,руками,рука,NOUN,1,8,5
81,молодые,молодой,ADJF,1,9,1
82,парни,парень,NOUN,1,9,2
83,и,и,CONJ,1,9,3
84,девушки,девушка,NOUN,1,9,4
85,танцевали,танцевать,VERB,1,9,5
86,на,на,PREP,1,9,6
87,стене,стена,NOUN,1,9,7
88,размахивая,размахивать,GRND,1,9,8
89,руками,рука,NOUN,1,9,9
90,в,в,PREP,1,10,1
91,эту,этот,ADJF,1,10,2
92,ночь,ночь,NOUN,1,10,3
93,два,два,NUMR,1,10,4
94,берлина,берлин,NOUN,1,10,5
95,бывшие,бывший,ADJF,1,10,6
96,столько,столько,ADVB,1,10,7
97,лет,год,NOUN,1,10,8
98,разными,разный,ADJF,1,10,9
99,городами,город,NOUN,1,10,10
100,наконец,наконец,ADVB,1,10,11
101,объединились,объединиться,VERB,1,10,12
102,оставьте,оставить,VERB,2,1,1
103,пожалуйста,пожалуйста,PRCL,2,1,2
104,это,это,PRCL,2,1,3
105,место,место,NOUN,2,1,4
106,таким,такой,ADJF,2,1,5
107,же,же,PRCL,2,1,6
108,чистым,чистый,ADJF,2,1,7
109,каким,какой,ADJF,2,1,8
110,его,он,NPRO,2,1,9
111,нашли,наслать,VERB,2,1,10
112,но,но,CONJ,2,1,11
113,это,это,PRCL,2,1,12
114,же,же,PRCL,2,1,13
115,относится,относиться,VERB,2,1,14
116,ко,к,PREP,2,1,15
117,всей,весь,ADJF,2,1,16
118,земле,земля,NOUN,2,1,17
119,а,а,CONJ,2,1,18
120,не,не,PRCL,2,1,19
121,только,только,ADVB,2,1,20
122,к,к,PREP,2,1,21
123,уборным,уборный,ADJF,2,1,22
124,и,и,CONJ,2,2,1
125,не,не,PRCL,2,2,2
126,такой,такой,ADJF,2,2,3
127,же,же,PRCL,2,2,4
128,чистой,чистый,ADJF,2,2,5
129,какой,какой,ADJF,2,2,6
130,её,она,NPRO,2,2,7
131,нашли,наслать,VERB,2,2,8
132,а,а,CONJ,2,2,9
133,какой,какой,ADJF,2,2,10
134,хотели,хотеть,VERB,2,2,11
135,бы,бы,PRCL,2,2,12
136,найти,найти,INFN,2,2,13
137,жильбер,жильбер,NOUN,2,3,1
138,сесброн,сесброн,NOUN,2,3,2
139,счастье,счастие,NOUN,2,4,1
140,по,по,PREP,2,4,2
141,пустякам,пустяк,NOUN,2,4,3
142,глава,глава,NOUN,2,4,4
143,она,она,NPRO,2,4,5
144,лежала,лежать,VERB,2,4,6
145,на,на,PREP,2,4,7
146,кровати,кровать,NOUN,2,4,8
147,лицом,лицо,NOUN,2,4,9
148,вниз,вниз,ADVB,2,4,10
149,и,и,CONJ,2,4,11
150,это,это,PRCL,2,4,12
151,избавляло,избавлять,VERB,2,4,13
152,от,от,PREP,2,4,14
153,необходимости,необходимость,NOUN,2,4,15
154,смотреть,смотреть,INFN,2,4,16
155,ей,она,NPRO,2,4,17
156,в,в,PREP,2,4,18
157,глаза,глаз,NOUN,2,4,19
158,мартин,мартин,NOUN,2,5,1
159,не,не,PRCL,2,5,2
160,любил,любить,VERB,2,5,3
161,смотреть,смотреть,INFN,2,5,4
162,в,в,PREP,2,5,5
163,глаза,глаз,NOUN,2,5,6
164,покойникам,покойник,NOUN,2,5,7
165,в,в,PREP,2,6,1
166,них,они,NPRO,2,6,2
167,часто,часто,ADVB,2,6,3
168,застывал,застывать,VERB,2,6,4
169,какой-то,какой-то,ADJF,2,6,5
170,горестный,горестный,ADJF,2,6,6
171,вопрос,вопрос,NOUN,2,6,7
172,словно,словно,CONJ,2,6,8
173,жертва,жертва,NOUN,2,6,9
174,отчаянно,отчаянно,ADVB,2,6,10
175,пыталась,пытаться,VERB,2,6,11
176,понять,понять,INFN,2,6,12
177,почему,почему,ADVB,2,6,13
178,именно,именно,PRCL,2,6,14
179,с,с,PREP,2,6,15
180,ней,она,NPRO,2,6,16
181,судьба,судьба,NOUN,2,6,17
182,обошлась,обойтись,VERB,2,6,18
183,столь,столь,ADVB,2,6,19
184,несправедливо,несправедливый,ADJS,2,6,20
185,иногда,иногда,ADVB,2,7,1
186,в,в,PREP,2,7,2
187,глазах,глаз,NOUN,2,7,3
188,бывал,бывать,VERB,2,7,4
189,и,и,CONJ,2,7,5
190,ужас,ужас,NOUN,2,7,6
191,но,но,CONJ,2,7,7
192,это,это,PRCL,2,7,8
193,случалось,случаться,VERB,2,7,9
194,редко,редко,ADVB,2,7,10
195,только,только,ADVB,2,7,11
196,в,в,PREP,2,7,12
197,том,тот,ADJF,2,7,13
198,случае,случай,NOUN,2,7,14
199,если,если,CONJ,2,7,15
200,убийца,убийца,NOUN,2,7,16
201,изощрённо,изощрённый,ADJS,2,7,17
202,мучил,мучить,VERB,2,7,18
203,свою,свой,ADJF,2,7,19
204,жертву,жертва,NOUN,2,7,20
205,эпиграф,эпиграф,NOUN,3,1,1
206,всем,весь,ADJF,3,1,2
207,участникам,участник,NOUN,3,1,3
208,войны,война,NOUN,3,1,4
209,в,в,PREP,3,1,5
210,афганистане,афганистан,NOUN,3,1,6
211,обманутым,обмануть,PRTF,3,1,7
212,и,и,CONJ,3,1,8
213,забытым,забытый,ADJF,3,1,9
214,преданным,предать,PRTF,3,1,10
215,и,и,CONJ,3,1,11
216,брошенным,бросить,PRTF,3,1,12
217,посвящаю,посвящать,VERB,3,1,13
218,эту,этот,ADJF,3,1,14
219,книгу,книга,NOUN,3,1,15
220,часть,часть,NOUN,3,1,16
221,i,i,,3,1,17
222,уйти,уйти,INFN,3,2,1
223,эпиграф,эпиграф,NOUN,3,2,2
224,чтобы,чтобы,CONJ,3,2,3
225,постичь,постичь,INFN,3,2,4
226,окружающий,окружающий,ADJF,3,2,5
227,нас,мы,NPRO,3,2,6
228,мир,мир,NOUN,3,2,7
229,нужно,нужно,PRED,3,2,8
230,знать,знать,INFN,3,2,9
231,его,он,NPRO,3,2,10
232,во,в,PREP,3,2,11
233,всех,весь,ADJF,3,2,12
234,подробностях,подробность,NOUN,3,2,13
235,а,а,CONJ,3,2,14
236,так,так,CONJ,3,2,15
237,как,как,CONJ,3,2,16
238,этих,этот,ADJF,3,2,17
239,подробностей,подробность,NOUN,3,2,18
240,почти,почти,ADVB,3,2,19
241,бесчисленное,бесчисленный,ADJF,3,2,20
242,множество,множество,NOUN,3,2,21
243,то,то,CONJ,3,2,22
244,и,и,CONJ,3,2,23
245,знания,знание,NOUN,3,2,24
246,наши,наш,ADJF,3,2,25
247,всегда,всегда,ADVB,3,2,26
248,поверхностны,поверхностный,ADJS,3,2,27
249,и,и,CONJ,3,2,28
250,несовершенны,несовершенный,ADJS,3,2,29
251,ларошфуко,ларошфуко,NOUN,3,3,1
252,i,i,,3,3,2
253,они,они,NPRO,3,3,3
254,шли,идти,VERB,3,3,4
255,впятером,впятером,ADVB,3,3,5
256,уже,уже,ADVB,3,3,6
257,третий,третий,ADJF,3,3,7
258,час,час,NOUN,3,3,8
259,машков,машков,NOUN,3,3,9
260,боялся,бояться,VERB,3,3,10
261,сглазить,сглазить,INFN,3,3,11
262,не,не,PRCL,3,3,12
263,пытаясь,пытаться,GRND,3,3,13
264,смотреть,смотреть,INFN,3,3,14
265,на,на,PREP,3,3,15
266,часы,часы,NOUN,3,3,16
267,сначала,сначала,ADVB,3,4,1
268,их,они,NPRO,3,4,2
269,было,быть,VERB,3,4,3
270,семеро,семеро,NUMR,3,4,4
271,но,но,CONJ,3,5,1
272,в,в,PREP,3,5,2
273,этом,это,NPRO,3,5,3
274,лесу,лес,NOUN,3,5,4
275,двоих,двое,NUMR,3,5,5
276,они,они,NPRO,3,5,6
277,потеряли,потерять,VERB,3,5,7
278,это,это,PRCL,3,6,1
279,был,быть,VERB,3,6,2
280,неплохой,неплохой,ADJF,3,6,3
281,результат,результат,NOUN,3,6,4
282,если,если,CONJ,3,6,5
283,считать,считать,INFN,3,6,6
284,что,что,CONJ,3,6,7
285,до,до,PREP,3,6,8
286,назначенного,назначить,PRTF,3,6,9
287,места,место,NOUN,3,6,10
288,им,они,NPRO,3,6,11
289,оставалось,оставаться,VERB,3,6,12
290,.идти,.идти,INFN,3,6,13
291,около,около,PREP,3,6,14
292,двух,два,NUMR,3,6,15
293,часов,час,NOUN,3,6,16
294,всё,всё,PRCL,3,7,1
295,пятеро,пятеро,NUMR,3,7,2
296,были,быть,VERB,3,7,3
297,офицерами,офицер,NOUN,3,7,4
298,жизнь,жизнь,NOUN,4,1,1
299,сама,сам,ADJF,4,1,2
300,по,по,PREP,4,1,3
301,себе,себя,NPRO,4,1,4
302,ни,ни,PRCL,4,1,5
303,благо,благо,NOUN,4,1,6
304,ни,ни,PRCL,4,1,7
305,зло,зло,NOUN,4,1,8
306,она,она,NPRO,4,1,9
307,вместилище,вместилище,NOUN,4,1,10
308,и,и,CONJ,4,1,11
309,блага,благо,NOUN,4,1,12
310,в,в,PREP,4,1,13
311,зла,зло,NOUN,4,1,14
312,смотря,смотреть,GRND,4,1,15
313,по,по,PREP,4,1,16
314,тому,тот,ADJF,4,1,17
315,во,в,PREP,4,1,18
316,что,что,CONJ,4,1,19
317,вы,вы,NPRO,4,1,20
318,сами,сам,ADJF,4,1,21
319,превратили,превратить,VERB,4,1,22
320,её,она,NPRO,4,1,23
321,монтень,монтень,NOUN,4,2,1
322,эпизод,эпизод,NOUN,4,2,2
323,первый,первый,ADJF,4,2,3
324,мне,я,NPRO,4,2,4
325,всегда,всегда,ADVB,4,2,5
326,не,не,PRCL,4,2,6
327,нравится,нравиться,VERB,4,2,7
328,иметь,иметь,INFN,4,2,8
329,дело,дело,NOUN,4,2,9
330,с,с,PREP,4,2,10
331,опытными,опытный,ADJF,4,2,11
332,образцами,образец,NOUN,4,2,12
333,а,а,CONJ,4,3,1
334,здесь,здесь,ADVB,4,3,2
335,мне,я,NPRO,4,3,3
336,придётся,прийтись,VERB,4,3,4
337,пользоваться,пользоваться,INFN,4,3,5
338,этой,этот,ADJF,4,3,6
339,идиотской,идиотский,ADJF,4,3,7
340,винтовкой,винтовка,NOUN,4,3,8
341,симонова,симоново,NOUN,4,3,9
342,у,у,PREP,4,3,10
343,которой,который,ADJF,4,3,11
344,в,в,PREP,4,3,12
345,решающий,решающий,ADJF,4,3,13
346,момент,момент,NOUN,4,3,14
347,может,мочь,VERB,4,3,15
348,просто,просто,PRCL,4,3,16
349,заклинить,заклинить,INFN,4,3,17
350,затвор,затвор,NOUN,4,3,18
351,из-за,из-за,PREP,4,3,19
352,перекоса,перекос,NOUN,4,3,20
353,затвора,затвор,NOUN,4,3,21
354,при,при,PREP,4,3,22
355,стрельбе,стрельба,NOUN,4,3,23
356,правда,правда,PRCL,4,4,1
357,жаловаться,жаловаться,INFN,4,4,2
358,уже,уже,ADVB,4,4,3
359,поздно,поздно,ADVB,4,4,4
360,к,к,PREP,4,5,1
361,тому,тот,ADJF,4,5,2
362,же,же,PRCL,4,5,3
363,я,я,NPRO,4,5,4
364,успел,успеть,VERB,4,5,5
365,пристрелять,пристрелять,INFN,4,5,6
366,эту,этот,ADJF,4,5,7
367,чёртову,чёртов,ADJF,4,5,8
368,винтовку,винтовка,NOUN,4,5,9
369,теперь,теперь,ADVB,4,6,1
370,нужно,нужно,PRED,4,6,2
371,сидеть,сидеть,INFN,4,6,3
372,на,на,PREP,4,6,4
373,холодном,холодный,ADJF,4,6,5
374,чердаке,чердак,NOUN,4,6,6
375,и,и,CONJ,4,6,7
376,ждать,ждать,INFN,4,6,8
377,когда,когда,CONJ,4,6,9
378,появится,появиться,VERB,4,6,10
379,этот,этот,ADJF,4,6,11
380,толстомордый,толстомордый,ADJF,4,6,12
381,банкир,банкир,NOUN,4,6,13
382,обычно,обычно,ADVB,4,7,1
383,я,я,NPRO,4,7,2
384,очень,очень,ADVB,4,7,3
385,внимательно,внимательно,ADVB,4,7,4
386,смотрю,смотреть,VERB,4,7,5
387,в,в,PREP,4,7,6
388,лица,лицо,NOUN,4,7,7
389,своих,свой,ADJF,4,7,8
390,клиентов,клиент,NOUN,4,7,9
391,наша,наш,ADJF,5,1,1
392,житейская,житейский,ADJF,5,1,2
393,ярмарка,ярмарка,NOUN,5,1,3
394,тщеславия,тщеславие,NOUN,5,1,4
395,свершается,свершаться,VERB,5,1,5
396,на,на,PREP,5,1,6
397,площади,площадь,NOUN,5,1,7
398,окружённой,окружить,PRTF,5,1,8
399,четырьмя,четыре,NUMR,5,1,9
400,зданиями,здание,NOUN,5,1,10
401,больницей,больница,NOUN,5,1,11
402,сумасшедшим,сумасшедший,ADJF,5,1,12
403,домом,дом,NOUN,5,1,13
404,богадельней,богадельный,COMP,5,1,14
405,и,и,CONJ,5,1,15
406,тюрьмой,тюрьма,NOUN,5,1,16
407,жильбер,жильбер,NOUN,5,2,1
408,сесброн,сесброн,NOUN,5,2,2
409,счастье,счастие,NOUN,5,3,1
410,по,по,PREP,5,3,2
411,пустякам,пустяк,NOUN,5,3,3
412,я,я,NPRO,5,3,4
413,расскажу,рассказать,VERB,5,3,5
414,вам,вы,NPRO,5,3,6
415,эту,этот,ADJF,5,3,7
416,историю,история,NOUN,5,3,8
417,так,так,CONJ,5,3,9
418,как,как,CONJ,5,3,10
419,она,она,NPRO,5,3,11
420,произошла,произойти,VERB,5,3,12
421,ни,ни,PRCL,5,4,1
422,прибавляя,прибавлять,GRND,5,4,2
423,ни,ни,PRCL,5,4,3
424,слова,слово,NOUN,5,4,4
425,ничего,ничего,ADVB,5,4,5
426,не,не,PRCL,5,4,6
427,придумывая,придумывать,GRND,5,4,7
428,да,да,PRCL,5,5,1
429,это,это,PRCL,5,5,2
430,и,и,CONJ,5,5,3
431,ни,ни,PRCL,5,5,4
432,к,к,PREP,5,5,5
433,чему,что,NPRO,5,5,6
434,сама,сам,ADJF,5,6,1
435,по,по,PREP,5,6,2
