,word,lemma,pos,nmb_text,nmb_sent,nmb_word
0,из,из,PREP,1,1,1
1,прежних,прежний,ADJF,1,1,2
2,моих,мой,ADJF,1,1,3
3,поучений,поучение,NOUN,1,1,4
4,вы,вы,NPRO,1,1,5
5,могли,мочь,VERB,1,1,6
6,вывести,вывести,INFN,1,1,7
7,что,что,CONJ,1,1,8
8,мужчина,мужчина,NOUN,1,1,9
9,дурак,дурак,NOUN,1,1,10
10,теперь,теперь,ADVB,1,1,11
11,вам,вы,NPRO,1,1,12
12,известно,известно,PRED,1,1,13
13,что,что,CONJ,1,1,14
14,женщина,женщина,NOUN,1,1,15
15,дьявольская,дьявольский,ADJF,1,1,16
16,дура,дура,NOUN,1,1,17
17,марк,марк,NOUN,1,1,18
18,твен,твен,NOUN,1,1,19
19,письма,письмо,NOUN,1,1,20
20,с,с,PREP,1,1,21
21,земли,земля,NOUN,1,1,22
22,письмо,письмо,NOUN,1,2,1
23,восьмое,восьмой,ADJF,1,2,2
24,большинство,большинство,NOUN,1,2,3
25,фамилий,фамилия,NOUN,1,2,4
26,названных,назвать,PRTF,1,2,5
27,здесь,здесь,ADVB,1,2,6
28,лиц,лицо,NOUN,1,2,7
29,изменены,изменить,PRTS,1,2,8
30,почти,почти,ADVB,1,3,1
31,всё,всё,PRCL,1,3,2
32,приведённые,привести,PRTF,1,3,3
33,факты,факт,NOUN,1,3,4
34,соответствуют,соответствовать,VERB,1,3,5
35,действительности,действительность,NOUN,1,3,6
36,автор,автор,NOUN,1,4,1
37,приносит,приносить,VERB,1,4,2
38,извинения,извинение,NOUN,1,4,3
39,людям,человек,NOUN,1,4,4
40,так,так,CONJ,1,4,5
41,или,или,CONJ,1,4,6
42,иначе,иначе,ADVB,1,4,7
43,изображённым,изобразить,PRTF,1,4,8
44,в,в,PREP,1,4,9
45,романе,роман,NOUN,1,4,10
46,вместо,вместо,PREP,1,5,1
47,вступления,вступление,NOUN,1,5,2
48,повсюду,повсюду,ADVB,1,5,3
49,царило,царить,VERB,1,5,4
50,ликование,ликование,NOUN,1,5,5
51,прорвавшие,прорвать,PRTF,1,6,1
52,берлинскую,берлинский,ADJF,1,6,2
53,стену,стена,NOUN,1,6,3
54,люди,человек,NOUN,1,6,4
55,веселились,веселиться,VERB,1,6,5
56,прямо,прямо,ADVB,1,6,6
57,у,у,PREP,1,6,7
58,берлинских,берлинский,ADJF,1,6,8
59,ворот,ворота,NOUN,1,6,9
60,столько,столько,ADVB,1,6,10
61,десятилетий,десятилетие,NOUN,1,6,11
62,служивших,служить,PRTF,1,6,12
63,символом,символ,NOUN,1,6,13
64,раздела,раздел,NOUN,1,6,14
65,немецкой,немецкий,ADJF,1,6,15
66,нации,нация,NOUN,1,6,16
67,ненавистную,ненавистный,ADJF,1,7,1
68,стену,стена,NOUN,1,7,2
69,крушили,крушить,VERB,1,7,3
70,к,к,PREP,1,7,4
71,восторгу,восторг,NOUN,1,7,5
72,собравшихся,собраться,PRTF,1,7,6
73,прямо,прямо,ADVB,1,7,7
74,на,на,PREP,1,7,8
75,глазах,глаз,NOUN,1,7,9
76,били,бить,VERB,1,8,1
77,кирками,кирка,NOUN,1,8,2
78,молотками,молоток,NOUN,1,8,3
79,просто,просто,PRCL,1,8,4
80,руками,рука,NOUN,1,8,5
81,молодые,молодой,ADJF,1,9,1
82,парни,парень,NOUN,1,9,2
83,и,и,CONJ,1,9,3
84,девушки,девушка,NOUN,1,9,4
85,танцевали,танцевать,VERB,1,9,5
86,на,на,PREP,1,9,6
87,стене,стена,NOUN,1,9,7
88,размахивая,размахивать,GRND,1,9,8
89,руками,рука,NOUN,1,9,9
90,в,в,PREP,1,10,1
91,эту,этот,ADJF,1,10,2
92,ночь,ночь,NOUN,1,10,3
93,два,два,NUMR,1,10,4
94,берлина,берлин,NOUN,1,10,5
95,бывшие,бывший,ADJF,1,10,6
96,столько,столько,ADVB,1,10,7
97,лет,год,NOUN,1,10,8
98,разными,разный,ADJF,1,10,9
99,городами,город,NOUN,1,10,10
100,наконец,наконец,ADVB,1,10,11
101,объединились,объединиться,VERB,1,10,12
102,оставьте,оставить,VERB,1,1,1
103,пожалуйста,пожалуйста,PRCL,1,1,2
104,это,это,PRCL,1,1,3
105,место,место,NOUN,1,1,4
106,таким,такой,ADJF,1,1,5
107,же,же,PRCL,1,1,6
108,чистым,чистый,ADJF,1,1,7
109,каким,какой,ADJF,1,1,8
110,его,он,NPRO,1,1,9
111,нашли,наслать,VERB,1,1,10
112,но,но,CONJ,1,1,11
113,это,это,PRCL,1,1,12
114,же,же,PRCL,1,1,13
115,относится,относиться,VERB,1,1,14
116,ко,к,PREP,1,1,15
117,всей,весь,ADJF,1,1,16
118,земле,земля,NOUN,1,1,17
119,а,а,CONJ,1,1,18
120,не,не,PRCL,1,1,19
121,только,только,ADVB,1,1,20
122,к,к,PREP,1,1,21
123,уборным,уборный,ADJF,1,1,22
124,и,и,CONJ,1,2,1
125,не,не,PRCL,1,2,2
126,такой,такой,ADJF,1,2,3
127,же,же,PRCL,1,2,4
128,чистой,чистый,ADJF,1,2,5
129,какой,какой,ADJF,1,2,6
130,её,она,NPRO,1,2,7
131,нашли,наслать,VERB,1,2,8
132,а,а,CONJ,1,2,9
133,какой,какой,ADJF,1,2,10
134,хотели,хотеть,VERB,1,2,11
135,бы,бы,PRCL,1,2,12
136,найти,найти,INFN,1,2,13
137,жильбер,жильбер,NOUN,1,3,1
138,сесброн,сесброн,NOUN,1,3,2
139,счастье,счастие,NOUN,1,4,1
140,по,по,PREP,1,4,2
141,пустякам,пустяк,NOUN,1,4,3
142,глава,глава,NOUN,1,4,4
143,она,она,NPRO,1,4,5
144,лежала,лежать,VERB,1,4,6
145,на,на,PREP,1,4,7
146,кровати,кровать,NOUN,1,4,8
147,лицом,лицо,NOUN,1,4,9
148,вниз,вниз,ADVB,1,4,10
149,и,и,CONJ,1,4,11
150,это,это,PRCL,1,4,12
151,избавляло,избавлять,VERB,1,4,13
152,от,от,PREP,1,4,14
153,необходимости,необходимость,NOUN,1,4,15
154,смотреть,смотреть,INFN,1,4,16
155,ей,она,NPRO,1,4,17
156,в,в,PREP,1,4,18
157,глаза,глаз,NOUN,1,4,19
158,мартин,мартин,NOUN,1,5,1
159,не,не,PRCL,1,5,2
160,любил,любить,VERB,1,5,3
161,смотреть,смотреть,INFN,1,5,4
162,в,в,PREP,1,5,5
163,глаза,глаз,NOUN,1,5,6
164,покойникам,покойник,NOUN,1,5,7
165,в,в,PREP,1,6,1
166,них,они,NPRO,1,6,2
167,часто,часто,ADVB,1,6,3
168,застывал,застывать,VERB,1,6,4
169,горестный,горестный,ADJF,1,6,5
170,вопрос,вопрос,NOUN,1,6,6
171,словно,словно,CONJ,1,6,7
172,жертва,жертва,NOUN,1,6,8
173,отчаянно,отчаянно,ADVB,1,6,9
174,пыталась,пытаться,VERB,1,6,10
175,понять,понять,INFN,1,6,11
176,почему,почему,ADVB,1,6,12
177,именно,именно,PRCL,1,6,13
178,с,с,PREP,1,6,14
179,ней,она,NPRO,1,6,15
180,судьба,судьба,NOUN,1,6,16
181,обошлась,обойтись,VERB,1,6,17
182,столь,столь,ADVB,1,6,18
183,несправедливо,несправедливый,ADJS,1,6,19
184,иногда,иногда,ADVB,1,7,1
185,в,в,PREP,1,7,2
186,глазах,глаз,NOUN,1,7,3
187,бывал,бывать,VERB,1,7,4
188,и,и,CONJ,1,7,5
189,ужас,ужас,NOUN,1,7,6
190,но,но,CONJ,1,7,7
191,это,это,PRCL,1,7,8
192,случалось,случаться,VERB,1,7,9
193,редко,редко,ADVB,1,7,10
194,только,только,ADVB,1,7,11
195,в,в,PREP,1,7,12
196,том,тот,ADJF,1,7,13
197,случае,случай,NOUN,1,7,14
198,если,если,CONJ,1,7,15
199,убийца,убийца,NOUN,1,7,16
200,изощрённо,изощрённый,ADJS,1,7,17
201,мучил,мучить,VERB,1,7,18
202,свою,свой,ADJF,1,7,19
203,жертву,жертва,NOUN,1,7,20
204,эпиграф,эпиграф,NOUN,1,1,1
205,всем,весь,ADJF,1,1,2
206,участникам,участник,NOUN,1,1,3
207,войны,война,NOUN,1,1,4
208,в,в,PREP,1,1,5
209,афганистане,афганистан,NOUN,1,1,6
210,обманутым,обмануть,PRTF,1,1,7
211,и,и,CONJ,1,1,8
212,забытым,забытый,ADJF,1,1,9
213,преданным,предать,PRTF,1,1,10
214,и,и,CONJ,1,1,11
215,брошенным,бросить,PRTF,1,1,12
216,посвящаю,посвящать,VERB,1,1,13
217,эту,этот,ADJF,1,1,14
218,книгу,книга,NOUN,1,1,15
219,часть,часть,NOUN,1,1,16
220,i,i,,1,1,17
221,уйти,уйти,INFN,1,2,1
222,эпиграф,эпиграф,NOUN,1,2,2
223,чтобы,чтобы,CONJ,1,2,3
224,постичь,постичь,INFN,1,2,4
225,окружающий,окружающий,ADJF,1,2,5
226,нас,мы,NPRO,1,2,6
227,мир,мир,NOUN,1,2,7
228,нужно,нужно,PRED,1,2,8
229,знать,знать,INFN,1,2,9
230,его,он,NPRO,1,2,10
231,во,в,PREP,1,2,11
232,всех,весь,ADJF,1,2,12
233,подробностях,подробность,NOUN,1,2,13
234,а,а,CONJ,1,2,14
235,так,так,CONJ,1,2,15
236,как,как,CONJ,1,2,16
237,этих,этот,ADJF,1,2,17
238,подробностей,подробность,NOUN,1,2,18
239,почти,почти,ADVB,1,2,19
240,бесчисленное,бесчисленный,ADJF,1,2,20
241,множество,множество,NOUN,1,2,21
242,то,то,CONJ,1,2,22
243,и,и,CONJ,1,2,23
244,знания,знание,NOUN,1,2,24
245,наши,наш,ADJF,1,2,25
246,всегда,всегда,ADVB,1,2,26
247,поверхностны,поверхностный,ADJS,1,2,27
248,и,и,CONJ,1,2,28
249,несовершенны,несовершенный,ADJS,1,2,29
250,ларошфуко,ларошфуко,NOUN,1,3,1
251,i,i,,1,3,2
252,они,они,NPRO,1,3,3
253,шли,идти,VERB,1,3,4
254,впятером,впятером,ADVB,1,3,5
255,уже,уже,ADVB,1,3,6
256,третий,третий,ADJF,1,3,7
257,час,час,NOUN,1,3,8
258,машков,машков,NOUN,1,3,9
259,боялся,бояться,VERB,1,3,10
260,сглазить,сглазить,INFN,1,3,11
261,не,не,PRCL,1,3,12
262,пытаясь,пытаться,GRND,1,3,13
263,смотреть,смотреть,INFN,1,3,14
264,на,на,PREP,1,3,15
265,часы,часы,NOUN,1,3,16
266,сначала,сначала,ADVB,1,4,1
267,их,они,NPRO,1,4,2
268,было,быть,VERB,1,4,3
269,семеро,семеро,NUMR,1,4,4
270,но,но,CONJ,1,5,1
271,в,в,PREP,1,5,2
272,этом,это,NPRO,1,5,3
273,лесу,лес,NOUN,1,5,4
274,двоих,двое,NUMR,1,5,5
275,они,они,NPRO,1,5,6
276,потеряли,потерять,VERB,1,5,7
277,это,это,PRCL,1,6,1
278,был,быть,VERB,1,6,2
279,неплохой,неплохой,ADJF,1,6,3
280,результат,результат,NOUN,1,6,4
281,если,если,CONJ,1,6,5
282,считать,считать,INFN,1,6,6
283,что,что,CONJ,1,6,7
284,до,до,PREP,1,6,8
285,назначенного,назначить,PRTF,1,6,9
286,места,место,NOUN,1,6,10
287,им,они,NPRO,1,6,11
288,оставалось,оставаться,VERB,1,6,12
289,около,около,PREP,1,6,13
290,двух,два,NUMR,1,6,14
291,часов,час,NOUN,1,6,15
292,всё,всё,PRCL,1,7,1
293,пятеро,пятеро,NUMR,1,7,2
294,были,быть,VERB,1,7,3
295,офицерами,офицер,NOUN,1,7,4
296,и,и,CONJ,1,8,1
297,всё,всё,PRCL,1,8,2
298,знали,знать,VERB,1,8,3
299,как,как,CONJ,1,8,4
300,трудно,трудно,ADVB,1,8,5
301,будет,быть,VERB,1,8,6
302,пройти,пройти,INFN,1,8,7
303,именно,именно,PRCL,1,8,8
304,эти,этот,ADJF,1,8,9
305,оставшиеся,остаться,PRTF,1,8,10
306,два,два,NUMR,1,8,11
307,часа,час,NOUN,1,8,12
308,жизнь,жизнь,NOUN,1,1,1
309,сама,сам,ADJF,1,1,2
310,по,по,PREP,1,1,3
311,себе,себя,NPRO,1,1,4
312,ни,ни,PRCL,1,1,5
313,благо,благо,NOUN,1,1,6
314,ни,ни,PRCL,1,1,7
315,зло,зло,NOUN,1,1,8
316,она,она,NPRO,1,1,9
317,вместилище,вместилище,NOUN,1,1,10
318,и,и,CONJ,1,1,11
319,блага,благо,NOUN,1,1,12
320,в,в,PREP,1,1,13
321,зла,зло,NOUN,1,1,14
322,смотря,смотреть,GRND,1,1,15
323,по,по,PREP,1,1,16
324,тому,тот,ADJF,1,1,17
325,во,в,PREP,1,1,18
326,что,что,CONJ,1,1,19
327,вы,вы,NPRO,1,1,20
328,сами,сам,ADJF,1,1,21
329,превратили,превратить,VERB,1,1,22
330,её,она,NPRO,1,1,23
331,монтень,монтень,NOUN,1,2,1
332,эпизод,эпизод,NOUN,1,2,2
333,первый,первый,ADJF,1,2,3
334,мне,я,NPRO,1,2,4
335,всегда,всегда,ADVB,1,2,5
336,не,не,PRCL,1,2,6
337,нравится,нравиться,VERB,1,2,7
338,иметь,иметь,INFN,1,2,8
339,дело,дело,NOUN,1,2,9
340,с,с,PREP,1,2,10
341,опытными,опытный,ADJF,1,2,11
342,образцами,образец,NOUN,1,2,12
343,а,а,CONJ,1,3,1
344,здесь,здесь,ADVB,1,3,2
345,мне,я,NPRO,1,3,3
346,придётся,прийтись,VERB,1,3,4
347,пользоваться,пользоваться,INFN,1,3,5
348,этой,этот,ADJF,1,3,6
349,идиотской,идиотский,ADJF,1,3,7
350,винтовкой,винтовка,NOUN,1,3,8
351,симонова,симоново,NOUN,1,3,9
352,у,у,PREP,1,3,10
353,которой,который,ADJF,1,3,11
354,в,в,PREP,1,3,12
355,решающий,решающий,ADJF,1,3,13
356,момент,момент,NOUN,1,3,14
357,может,мочь,VERB,1,3,15
358,просто,просто,PRCL,1,3,16
359,заклинить,заклинить,INFN,1,3,17
360,затвор,затвор,NOUN,1,3,18
361,перекоса,перекос,NOUN,1,3,19
362,затвора,затвор,NOUN,1,3,20
363,при,при,PREP,1,3,21
364,стрельбе,стрельба,NOUN,1,3,22
365,правда,правда,PRCL,1,4,1
366,жаловаться,жаловаться,INFN,1,4,2
367,уже,уже,ADVB,1,4,3
368,поздно,поздно,ADVB,1,4,4
369,к,к,PREP,1,5,1
370,тому,тот,ADJF,1,5,2
371,же,же,PRCL,1,5,3
372,я,я,NPRO,1,5,4
373,успел,успеть,VERB,1,5,5
374,пристрелять,пристрелять,INFN,1,5,6
375,эту,этот,ADJF,1,5,7
376,чёртову,чёртов,ADJF,1,5,8
377,винтовку,винтовка,NOUN,1,5,9
378,теперь,теперь,ADVB,1,6,1
379,нужно,нужно,PRED,1,6,2
380,сидеть,сидеть,INFN,1,6,3
381,на,на,PREP,1,6,4
382,холодном,холодный,ADJF,1,6,5
383,чердаке,чердак,NOUN,1,6,6
384,и,и,CONJ,1,6,7
385,ждать,ждать,INFN,1,6,8
386,когда,когда,CONJ,1,6,9
387,появится,появиться,VERB,1,6,10
388,этот,этот,ADJF,1,6,11
389,толстомордый,толстомордый,ADJF,1,6,12
390,банкир,банкир,NOUN,1,6,13
391,обычно,обычно,ADVB,1,7,1
392,я,я,NPRO,1,7,2
393,очень,очень,ADVB,1,7,3
394,внимательно,внимательно,ADVB,1,7,4
395,смотрю,смотреть,VERB,1,7,5
396,в,в,PREP,1,7,6
397,лица,лицо,NOUN,1,7,7
398,своих,свой,ADJF,1,7,8
399,клиентов,клиент,NOUN,1,7,9
400,ничего,ничего,ADVB,1,8,1
401,достойного,достойный,ADJF,1,8,2
402,как,как,CONJ,1,8,3
403,правило,правило,NOUN,1,8,4
404,в,в,PREP,1,8,5
405,них,они,NPRO,1,8,6
406,нет,нет,PRED,1,8,7
407,наша,наш,ADJF,1,1,1
408,житейская,житейский,ADJF,1,1,2
409,ярмарка,ярмарка,NOUN,1,1,3
410,тщеславия,тщеславие,NOUN,1,1,4
411,свершается,свершаться,VERB,1,1,5
412,на,на,PREP,1,1,6
413,площади,площадь,NOUN,1,1,7
414,окружённой,окружить,PRTF,1,1,8
415,четырьмя,четыре,NUMR,1,1,9
416,зданиями,здание,NOUN,1,1,10
417,больницей,больница,NOUN,1,1,11
418,сумасшедшим,сумасшедший,ADJF,1,1,12
419,домом,дом,NOUN,1,1,13
420,богадельней,богадельный,COMP,1,1,14
421,и,и,CONJ,1,1,15
422,тюрьмой,тюрьма,NOUN,1,1,16
423,жильбер,жильбер,NOUN,1,2,1
424,сесброн,сесброн,NOUN,1,2,2
425,счастье,счастие,NOUN,1,3,1
426,по,по,PREP,1,3,2
427,пустякам,пустяк,NOUN,1,3,3
428,я,я,NPRO,1,3,4
429,расскажу,рассказать,VERB,1,3,5
430,вам,вы,NPRO,1,3,6
431,эту,этот,ADJF,1,3,7
432,историю,история,NOUN,1,3,8
433,так,так,CONJ,1,3,9
434,как,как,CONJ,1,3,10
435,она,она,NPRO,1,3,11
